timestep,temperature,heat demand,demand_el,pv,collector_heat
451,-1.45,8.185612565,539.2091267,0,0
452,-0.86,8.052513174,391.2455783,0,0
453,-0.69,7.686489848,521.7638867,0,0
454,-0.64,6.804706381,662.001735,0,0
455,-0.61,5.157601413,171.9114617,0,0
456,-0.87,4.408917337,135.31643,0,0
457,-0.98,4.325371362,101.2593617,0,0
458,-0.76,4.409522556,125.692785,0,0
459,-0.88,4.560994704,150.2093867,0,0
460,-1.06,4.830278525,162.1228633,0,0
461,-1.59,5.688620701,111.2231967,0,0
462,-1.97,7.388474816,109.3767233,0,0
463,-2.63,9.172480125,110.1071683,0,0
464,-2.6,8.56659153,114.98422,0,0
465,-2.9,8.448779858,121.4641767,0,0
466,-1.26,8.179496038,112.06059,0.027829531,0
467,0.01,7.87655174,213.8973183,0.048723897,0.31604686
468,0.74,7.539946965,571.4754117,0.045355292,91.77607357
469,1.37,7.422135294,626.4217133,0.016308479,134.7350593
470,1.63,7.388474816,283.6619817,0,95.2050548
471,1.56,7.60726792,71.34475833,0.005773454,25.50896023
472,1.2,7.775570308,167.4790717,0.005485729,0
473,0.68,8.145835561,367.1025133,0,0
474,0.37,8.246816993,372.3575317,0,0
475,-0.13,8.280477471,296.34593,0,0
476,-1.4,8.145835561,811.6420433,0,0
477,-2.49,7.775570308,1068.120613,0,0
478,-3.43,6.883567654,503.7090883,0,0
479,-4.22,5.217374016,173.5495633,0,0
480,-4.38,4.460013272,119.7198933,0,0
481,-4.19,4.389333126,119.05057,0,0
482,-3.74,4.474728713,152.2173233,0,0
483,-3.25,4.628440768,139.14276,0,0
484,-2.73,4.901706643,156.3093083,0,0
485,-2.71,5.772741621,189.5240117,0,0
486,-2.56,7.497732461,126.2544067,0,0
487,-2.55,9.308118887,116.92997,0,0
488,-2.77,8.693270667,97.67856,0,0
489,-2.58,8.573716846,94.26737167,0,0
490,-2.07,8.300450971,328.9601933,0.015274176,0
491,-1.56,7.993026861,740.1615367,0.042638254,0
492,-1.01,7.651444516,447.761855,0.062247664,0
493,-0.69,7.531890695,298.4067567,0.052456768,0
494,-0.32,7.497732461,375.5530967,0.060573832,0
495,-0.03,7.719760985,121.8009683,0.064174744,0
496,-0.18,7.890552157,452.214735,0.024623643,0
497,-0.31,8.266292736,431.5246433,0,0
498,-0.23,8.368767439,507.5703117,0,0
499,-0.23,8.402925674,287.2866983,0,0
500,-0.42,8.266292736,672.5401017,0,0
501,-0.55,7.890552157,772.78801,0,0
502,-0.61,6.985358944,538.041265,0,0
503,-0.62,5.294526339,142.7961767,0,0
504,-0.55,4.525966064,126.6876583,0,0
505,-0.44,4.242257104,122.00921,0,0
506,-0.29,4.324791289,146.0421983,0,0
507,-0.23,4.473352821,143.742125,0,0
508,-0.21,4.737462213,139.7772867,0,0
509,-0.25,5.579310899,150.910805,0,0
510,-0.39,7.246501434,140.0194467,0,0
511,-0.39,8.996226154,156.895065,0,0
512,-0.66,8.401980023,122.3052633,0,0
513,-0.65,8.286432164,99.49762,0,0
514,-0.48,8.022322772,326.1512633,0.013885127,0
515,-0.07,7.725199706,400.774125,0.054191727,0
516,0.15,7.395062967,387.491655,0.068060763,0
517,0.37,7.279515108,705.5481617,0.072711616,0
518,0.39,7.246501434,202.6449383,0.055257305,0
519,0.42,7.461090315,228.0276533,0.03910949,0
520,0.23,7.626158685,376.1457217,0.020840391,0
521,-0.02,7.989309098,611.204065,0,0
522,-0.15,8.08835012,576.8338167,0,0
523,-0.11,8.121363794,662.581935,0,0
524,-0.45,7.989309098,382.8103033,0,0
525,-0.48,7.626158685,442.7232417,0,0
526,-0.57,6.751296325,229.8482817,0,0
527,-0.57,5.117119464,149.9647783,0,0
528,-0.51,4.3743118,120.8928633,0,0
529,-0.53,4.202589322,130.484205,0,0
530,-0.95,4.284351761,158.8507883,0,0
531,-1.06,4.431524149,144.5592217,0,0
532,-1.11,4.693163952,155.2277567,0,0
533,-1.02,5.527140821,157.9232067,0,0
534,-1.03,7.178742072,127.29345,0,0
535,-0.99,8.912105762,110.322255,0,0
536,-0.94,8.323416207,111.2757067,0,0
537,-0.85,8.208948793,108.4307,0,0
538,-0.62,7.947308991,155.3111817,0.020488676,0
539,-0.38,7.652964214,178.0358617,0.039379092,0
540,-0.25,7.325914461,777.6102533,0.050364779,0
541,0.09,7.211447047,497.7789617,0.067985762,0
542,0.28,7.178742072,294.46204,0.068311361,0
543,0.36,7.391324411,327.2364717,0.056852757,0
544,0.2,7.554849288,356.4996067,0.013069059,0
545,0.04,7.914604016,428.27257,0,0
546,0.03,8.012718942,821.6036983,0,0
547,-0.13,8.045423917,769.0939367,0,0
548,-0.3,7.914604016,804.950425,0,0
549,-0.45,7.554849288,912.8435783,0,0
550,-0.49,6.688167443,417.998295,0,0
551,-0.46,5.069271167,176.5510317,0,0
552,-0.51,4.333409224,131.3529283,0,0
553,-0.71,4.250747377,106.3089417,0,0
554,-0.76,4.333446743,135.8587417,0,0
555,-0.99,4.4823056,145.38386,0,0
556,-1.03,4.746943569,116.661375,0,0
557,-1.49,5.590477096,161.0179867,0,0
558,-1.49,7.261004275,117.4163617,0,0
559,-1.41,9.01423082,120.6983417,0,0
560,-1.88,8.41879539,111.0172283,0,0
561,-1.52,8.303016278,102.119115,0,0
562,-1.17,8.038378309,194.0125683,0.031621376,0
563,-0.76,7.740660594,437.2806133,0.050629764,5.11208822
564,-0.27,7.409863133,622.251565,0.093215627,31.56137336
565,0.18,7.294084021,482.1647267,0.110776752,0.686991812
566,0.35,7.261004275,305.536535,0.07732104,0
567,0.38,7.476022625,92.36116833,0.054156019,0
568,0.19,7.641421356,288.6692817,0.024760129,0
569,-0.18,8.005298563,445.0355967,0,0
570,-0.88,8.104537801,595.40905,0,0
571,-0.94,8.137617547,971.5090183,0,0
572,-1.94,8.005298563,620.6588133,0,0
573,-1.93,7.641421356,609.1218983,0,0
574,-1.91,6.764808083,305.1102067,0,0
575,-1.85,5.12736065,174.344635,0,0
576,-1.92,4.383066362,125.8746733,0,0
577,-1.74,4.394951053,121.4257283,0,0
578,-1.94,4.480455937,150.4173833,0,0
579,-2.02,4.634364729,148.62584,0,0
580,-2.36,4.907980359,148.23277,0,0
581,-2.45,5.780130179,119.6763783,0,0
582,-2.87,7.507328841,131.2796867,0,0
583,-2.71,9.320032389,119.333395,0,0
584,-2.81,8.704397222,120.404965,0,0
585,-3.17,8.584690384,104.2600883,0,0
586,-2.44,8.311074754,502.7466533,0.0344319,0
587,-1.82,8.00325717,608.9233317,0.060486856,6.566210939
588,-1.38,7.661237633,323.79878,0.091187143,40.83233489
589,-0.89,7.541530795,442.961925,0.116014692,28.08072785
590,-0.77,7.507328841,500.9783967,0.090692692,16.9430144
591,-0.66,7.729641541,338.3246283,0.066748406,0
